,Temp_LM75/oC,Temp_BME680/oC,Temp_NTC/oC,Pressure/kPa,Humidity/%,Time
42,23.46,35.16,33.29,99.19,40.45,2021-05-04 00:24:16
43,22.96,35.15,33.27,99.18,40.09,2021-05-04 00:24:50
44,22.96,35.14,33.25,99.19,39.33,2021-05-04 00:25:24
45,23.46,35.14,33.29,99.18,39.09,2021-05-04 00:25:58
46,23.46,35.14,33.19,99.18,39.55,2021-05-04 00:26:37
47,22.96,35.13,33.27,99.18,39.85,2021-05-04 00:27:11
48,23.46,35.12,33.23,99.18,40.17,2021-05-04 00:27:44
49,22.96,35.11,33.21,99.17,40.45,2021-05-04 00:28:18
50,22.96,35.1,33.27,99.18,40.33,2021-05-04 00:28:52
51,22.96,35.09,33.19,99.18,40.32,2021-05-04 00:29:26
52,22.96,35.08,33.18,99.16,40.24,2021-05-04 00:30:00
53,22.96,35.07,33.18,99.16,39.24,2021-05-04 00:30:39
54,22.96,35.06,33.18,99.16,39.04,2021-05-04 00:31:13
55,22.96,35.07,33.18,99.16,39.15,2021-05-04 00:31:47
56,22.96,35.07,33.18,99.16,39.45,2021-05-04 00:32:21
57,22.96,35.06,33.18,99.17,39.92,2021-05-04 00:32:55
58,22.96,35.05,33.16,99.16,39.86,2021-05-04 00:33:35
59,22.96,35.05,33.18,99.16,39.07,2021-05-04 00:34:09
60,22.96,35.05,33.16,99.16,39.54,2021-05-04 00:34:43
61,22.96,35.05,33.16,99.16,39.62,2021-05-04 00:35:17
62,22.96,35.04,33.14,99.16,39.89,2021-05-04 00:35:51
63,22.96,35.03,33.18,99.15,40.69,2021-05-04 00:36:25
64,22.96,35.02,33.16,99.15,40.47,2021-05-04 00:36:59
65,22.96,35.01,33.18,99.16,40.22,2021-05-04 00:37:38
66,22.96,34.99,33.18,99.15,39.96,2021-05-04 00:38:17
67,22.96,34.98,33.16,99.15,39.44,2021-05-04 00:38:51
68,22.96,34.98,33.16,99.15,38.93,2021-05-04 00:39:25
69,22.96,34.98,33.08,99.15,39.17,2021-05-04 00:39:59
70,22.96,34.99,33.12,99.14,38.55,2021-05-04 00:40:38
71,22.96,34.99,33.12,99.15,38.92,2021-05-04 00:41:12
72,22.96,35.0,33.08,99.15,38.97,2021-05-04 00:41:45
73,22.96,35.01,33.08,99.14,39.17,2021-05-04 00:42:19
74,22.96,35.03,33.12,99.15,39.04,2021-05-04 00:42:53
75,22.96,35.04,33.18,99.14,38.69,2021-05-04 00:43:27
76,22.96,35.05,33.14,99.15,38.56,2021-05-04 00:44:01
77,22.96,35.07,33.14,99.15,38.15,2021-05-04 00:44:36
78,22.96,35.09,33.16,99.15,38.03,2021-05-04 00:45:10
79,22.96,35.11,33.18,99.15,37.93,2021-05-04 00:45:44
80,22.96,35.13,33.18,99.15,38.34,2021-05-04 00:46:17
81,22.96,35.14,33.16,99.14,38.74,2021-05-04 00:46:51
82,22.96,35.16,33.18,99.14,38.82,2021-05-04 00:47:25
83,22.96,35.17,33.19,99.14,38.41,2021-05-04 00:47:59
84,22.96,35.2,33.25,99.14,38.18,2021-05-04 00:48:38
85,22.96,35.22,33.25,99.14,38.22,2021-05-04 00:49:23
86,22.96,35.24,33.25,99.13,38.16,2021-05-04 00:49:57
87,22.96,35.26,33.27,99.13,38.05,2021-05-04 00:50:33
88,22.96,35.27,33.31,99.13,38.16,2021-05-04 00:51:07
89,22.96,35.29,33.27,99.13,38.27,2021-05-04 00:51:41
90,22.96,35.3,33.27,99.13,38.28,2021-05-04 00:52:15
91,22.96,35.31,33.27,99.12,37.63,2021-05-04 00:52:49
92,22.96,35.33,33.27,99.13,37.55,2021-05-04 00:53:23
93,22.96,35.33,33.35,99.12,38.3,2021-05-04 00:53:57
94,22.96,35.35,33.35,99.12,38.52,2021-05-04 00:54:33
95,22.96,35.37,33.37,99.13,38.21,2021-05-04 00:55:07
96,22.96,35.37,33.39,99.12,37.23,2021-05-04 00:55:40
97,22.96,35.39,33.33,99.11,37.67,2021-05-04 00:56:15
98,22.96,35.39,33.35,99.11,37.67,2021-05-04 00:56:48
99,22.96,35.41,33.37,99.12,37.75,2021-05-04 00:57:22
100,22.96,35.41,33.37,99.11,37.83,2021-05-04 00:58:01
101,22.96,35.42,33.37,99.12,38.07,2021-05-04 00:58:35
102,22.96,35.42,33.37,99.11,38.16,2021-05-04 00:59:09
103,22.96,35.42,33.37,99.11,38.39,2021-05-04 00:59:43
104,22.96,35.42,33.37,99.1,38.19,2021-05-04 01:00:16
105,22.96,35.4,33.35,99.1,38.26,2021-05-04 01:00:50
106,22.96,35.4,33.37,99.1,38.08,2021-05-04 01:01:36
107,22.96,35.39,33.37,99.11,38.34,2021-05-04 01:02:12
108,22.96,35.38,33.37,99.1,38.02,2021-05-04 01:02:46
109,22.96,35.38,33.37,99.1,38.21,2021-05-04 01:03:20
110,22.96,35.37,33.37,99.1,38.04,2021-05-04 01:03:53
111,22.96,35.35,33.37,99.08,37.92,2021-05-04 01:04:27
112,22.96,35.35,33.41,99.11,37.74,2021-05-04 01:05:01
113,22.96,35.34,33.37,99.1,38.1,2021-05-04 01:05:35
114,22.96,35.32,33.35,99.09,37.62,2021-05-04 01:06:09
115,22.96,35.31,33.29,99.09,37.55,2021-05-04 01:06:43
116,22.96,35.3,33.37,99.09,37.37,2021-05-04 01:07:17
117,22.96,35.29,33.31,99.09,37.73,2021-05-04 01:07:50
118,22.96,35.28,33.33,99.09,37.59,2021-05-04 01:08:24
119,22.96,35.26,33.29,99.08,37.72,2021-05-04 01:08:58
120,22.96,35.25,33.31,99.09,37.39,2021-05-04 01:09:43
121,22.96,35.24,33.29,99.08,37.33,2021-05-04 01:10:17
122,22.96,35.23,33.29,99.08,37.48,2021-05-04 01:10:51
123,22.96,35.21,33.27,99.09,37.4,2021-05-04 01:11:24
124,22.96,35.2,33.27,99.07,37.47,2021-05-04 01:12:11
125,22.96,35.18,33.25,99.08,37.72,2021-05-04 01:12:45
126,22.96,35.18,33.27,99.09,37.56,2021-05-04 01:13:19
127,22.96,35.16,33.27,99.08,37.55,2021-05-04 01:13:53
128,22.96,35.15,33.27,99.08,37.43,2021-05-04 01:14:27
129,22.96,35.14,33.27,99.07,37.34,2021-05-04 01:15:00
130,22.96,35.12,33.23,99.07,37.36,2021-05-04 01:15:39
131,22.46,35.11,33.18,99.08,37.54,2021-05-04 01:16:13
132,22.96,35.1,33.18,99.07,37.34,2021-05-04 01:16:47
133,22.46,35.09,33.19,99.07,37.35,2021-05-04 01:17:21
134,22.46,35.08,33.18,99.07,37.36,2021-05-04 01:17:54
135,22.46,35.06,33.14,99.07,37.2,2021-05-04 01:18:28
136,22.46,35.05,33.16,99.08,37.29,2021-05-04 01:19:02
137,22.46,35.04,33.14,99.06,37.5,2021-05-04 01:19:36
138,22.46,35.03,33.19,99.07,37.5,2021-05-04 01:20:09
139,22.46,35.02,33.16,99.07,37.29,2021-05-04 01:20:43
140,22.46,35.0,33.16,99.07,37.29,2021-05-04 01:21:17
141,22.46,34.99,33.18,99.06,37.34,2021-05-04 01:21:51
142,22.46,34.99,33.12,99.06,37.64,2021-05-04 01:22:25
143,22.46,34.98,33.1,99.07,37.11,2021-05-04 01:22:59
144,22.46,34.96,33.08,99.06,37.22,2021-05-04 01:23:38
145,22.46,34.95,33.08,99.06,37.2,2021-05-04 01:24:23
146,22.46,34.94,33.08,99.06,37.29,2021-05-04 01:24:57
147,22.46,34.94,33.04,99.06,37.37,2021-05-04 01:25:37
148,22.46,34.93,33.08,99.05,37.14,2021-05-04 01:26:11
149,22.46,34.92,33.04,99.06,37.17,2021-05-04 01:26:45
150,22.46,34.91,33.04,99.07,37.31,2021-05-04 01:27:18
151,22.46,34.91,33.08,99.06,37.44,2021-05-04 01:27:52
152,22.46,34.91,33.06,99.05,37.24,2021-05-04 01:28:26
153,22.46,34.91,33.04,99.06,36.79,2021-05-04 01:29:00
154,22.46,34.9,33.1,99.06,36.95,2021-05-04 01:29:38
155,22.46,34.89,33.02,99.07,36.76,2021-05-04 01:30:12
156,22.46,34.9,32.95,99.06,36.89,2021-05-04 01:30:46
157,22.46,34.9,32.98,99.05,36.98,2021-05-04 01:31:20
158,22.46,34.89,33.06,99.06,36.69,2021-05-04 01:31:53
159,22.46,34.89,33.06,99.06,36.69,2021-05-04 01:32:28
160,22.46,34.88,32.98,99.06,37.16,2021-05-04 01:33:02
161,22.46,34.88,33.02,99.06,36.99,2021-05-04 01:33:35
162,22.46,34.88,33.0,99.05,36.99,2021-05-04 01:34:09
163,22.46,34.87,32.98,99.06,36.82,2021-05-04 01:34:43
164,22.46,34.86,32.95,99.04,37.06,2021-05-04 01:35:17
165,22.46,34.87,32.98,99.05,37.45,2021-05-04 01:35:51
166,22.46,34.86,32.98,99.05,37.35,2021-05-04 01:36:24
167,22.46,34.86,32.98,99.05,37.21,2021-05-04 01:36:58
168,22.46,34.85,32.97,99.06,37.28,2021-05-04 01:37:37
169,22.46,34.85,32.98,99.06,37.0,2021-05-04 01:38:11
170,22.46,34.84,32.98,99.05,37.26,2021-05-04 01:38:45
171,22.46,34.83,32.98,99.05,37.05,2021-05-04 01:39:19
172,22.46,34.83,32.98,99.05,37.26,2021-05-04 01:39:53
173,22.46,34.82,32.93,99.05,37.5,2021-05-04 01:40:26
174,22.46,34.82,32.98,99.05,37.16,2021-05-04 01:41:00
175,22.46,34.81,32.98,99.06,37.51,2021-05-04 01:41:39
176,22.46,34.81,32.97,99.05,37.45,2021-05-04 01:42:13
177,22.46,34.8,32.95,99.05,37.24,2021-05-04 01:42:46
178,22.46,34.79,32.95,99.05,37.24,2021-05-04 01:43:20
179,22.46,34.79,32.91,99.05,37.35,2021-05-04 01:43:54
180,22.46,34.77,32.91,99.05,37.53,2021-05-04 01:44:28
181,22.46,34.77,32.98,99.04,37.15,2021-05-04 01:45:01
182,22.46,34.77,32.93,99.04,36.93,2021-05-04 01:45:35
183,22.46,34.76,32.91,99.04,37.16,2021-05-04 01:46:09
184,22.46,34.75,32.89,99.04,37.23,2021-05-04 01:46:43
185,22.46,34.75,32.91,99.04,37.5,2021-05-04 01:47:17
186,22.46,34.74,32.89,99.03,37.15,2021-05-04 01:47:51
187,22.46,34.73,32.89,99.03,36.91,2021-05-04 01:48:25
188,22.46,34.72,32.87,99.02,36.99,2021-05-04 01:48:58
189,22.46,34.72,32.87,99.03,37.06,2021-05-04 01:49:38
190,22.46,34.72,32.91,99.04,37.42,2021-05-04 01:50:11
191,22.46,34.72,32.91,99.04,37.45,2021-05-04 01:50:45
192,22.46,34.71,32.89,99.03,37.37,2021-05-04 01:51:19
193,22.46,34.71,32.87,99.03,37.43,2021-05-04 01:51:53
194,22.46,34.7,32.89,99.02,37.98,2021-05-04 01:52:27
195,22.46,34.71,32.87,99.02,37.72,2021-05-04 01:53:01
196,22.46,34.7,32.83,99.03,37.47,2021-05-04 01:53:37
197,22.46,34.7,32.89,99.02,37.47,2021-05-04 01:54:11
198,22.46,34.69,32.89,99.02,37.5,2021-05-04 01:54:45
199,22.46,34.69,32.85,99.03,37.35,2021-05-04 01:55:20
200,22.46,34.68,32.81,99.02,37.37,2021-05-04 01:55:54
201,22.46,34.68,32.81,99.02,37.52,2021-05-04 01:56:28
202,22.46,34.68,32.83,99.03,37.58,2021-05-04 01:57:01
203,22.46,34.68,32.81,99.03,37.75,2021-05-04 01:57:35
204,22.46,34.68,32.79,99.02,38.15,2021-05-04 01:58:09
205,22.46,34.68,32.85,99.02,38.06,2021-05-04 01:58:55
206,22.46,34.68,32.83,99.02,37.82,2021-05-04 01:59:29
207,22.46,34.68,32.89,99.02,37.98,2021-05-04 02:00:02
208,22.46,34.68,32.83,99.02,37.97,2021-05-04 02:00:36
209,22.46,34.7,32.87,99.03,38.23,2021-05-04 02:01:10
210,22.46,34.71,32.83,99.04,38.46,2021-05-04 02:01:44
211,22.46,34.72,32.89,99.02,38.67,2021-05-04 02:02:18
212,22.46,34.73,32.77,99.02,38.87,2021-05-04 02:02:52
213,22.46,34.74,32.85,99.03,38.95,2021-05-04 02:03:25
214,22.46,34.75,32.89,99.04,39.12,2021-05-04 02:03:59
215,22.46,34.76,32.87,99.02,39.28,2021-05-04 02:04:34
216,22.46,34.77,32.91,99.03,39.1,2021-05-04 02:05:08
217,22.46,34.77,32.89,99.02,38.98,2021-05-04 02:05:41
218,22.46,34.79,32.89,99.02,39.22,2021-05-04 02:06:15
219,22.46,34.8,32.87,99.02,39.26,2021-05-04 02:06:49
220,22.46,34.81,32.91,99.02,39.3,2021-05-04 02:07:23
221,22.46,34.82,32.89,99.02,39.27,2021-05-04 02:08:02
222,22.46,34.82,32.89,99.01,39.31,2021-05-04 02:08:36
223,22.46,34.82,32.91,99.02,38.76,2021-05-04 02:09:10
224,22.46,34.84,32.91,99.01,38.67,2021-05-04 02:09:44
225,22.46,34.85,32.93,99.02,38.89,2021-05-04 02:10:17
226,22.46,34.86,32.91,99.01,39.0,2021-05-04 02:10:51
227,22.46,34.87,32.95,99.01,38.9,2021-05-04 02:11:25
228,22.46,34.87,32.91,99.01,38.52,2021-05-04 02:11:59
229,22.46,34.88,32.95,99.02,38.38,2021-05-04 02:12:38
230,22.46,34.9,32.91,99.02,38.85,2021-05-04 02:13:12
231,22.46,34.91,32.97,99.01,38.69,2021-05-04 02:13:46
232,21.96,34.91,32.95,99.01,38.33,2021-05-04 02:14:20
233,22.46,34.92,32.93,99.02,38.65,2021-05-04 02:14:57
234,22.46,34.92,33.02,99.0,38.79,2021-05-04 02:15:37
235,22.46,34.93,33.0,99.0,38.65,2021-05-04 02:16:11
236,22.46,34.93,33.0,99.02,38.46,2021-05-04 02:16:44
237,22.46,34.92,32.98,99.01,37.99,2021-05-04 02:17:19
238,22.46,34.93,32.97,99.01,37.72,2021-05-04 02:17:53
239,22.46,34.93,32.98,99.02,38.12,2021-05-04 02:18:27
240,22.46,34.92,32.98,99.01,38.35,2021-05-04 02:19:00
241,22.46,34.91,32.98,99.02,38.67,2021-05-04 02:19:34
242,22.46,34.9,32.98,99.0,38.29,2021-05-04 02:20:08
243,22.46,34.9,32.97,99.0,37.99,2021-05-04 02:20:47
244,22.46,34.89,32.89,99.0,38.04,2021-05-04 02:21:20
245,22.46,34.88,32.97,99.01,38.21,2021-05-04 02:21:54
246,22.46,34.86,32.95,99.02,38.54,2021-05-04 02:22:28
247,22.46,34.85,32.93,99.01,37.97,2021-05-04 02:23:02
248,22.46,34.85,32.97,99.01,37.92,2021-05-04 02:23:36
249,22.46,34.85,32.97,99.01,38.19,2021-05-04 02:24:09
250,21.96,34.83,32.93,99.01,38.23,2021-05-04 02:24:43
251,21.96,34.82,32.98,99.0,38.33,2021-05-04 02:25:17
252,22.46,34.81,32.87,99.01,38.46,2021-05-04 02:25:51
253,21.96,34.79,32.89,99.01,38.77,2021-05-04 02:26:25
254,21.96,34.79,32.89,99.0,38.9,2021-05-04 02:26:58
255,21.96,34.77,32.93,99.01,38.87,2021-05-04 02:27:38
256,22.46,34.77,32.87,99.01,38.83,2021-05-04 02:28:11
257,21.96,34.74,32.87,99.0,38.77,2021-05-04 02:28:45
258,21.96,34.73,32.85,99.02,38.38,2021-05-04 02:29:19
259,21.96,34.71,32.87,99.02,38.82,2021-05-04 02:29:53
260,21.96,34.71,32.89,99.01,38.85,2021-05-04 02:30:27
261,21.96,34.7,32.85,99.01,38.79,2021-05-04 02:31:00
262,21.96,34.69,32.91,99.01,38.47,2021-05-04 02:31:39
263,21.96,34.68,32.81,99.01,38.57,2021-05-04 02:32:13
264,21.96,34.67,32.79,99.0,38.56,2021-05-04 02:32:46
265,21.96,34.66,32.77,99.01,38.19,2021-05-04 02:33:36
266,21.96,34.65,32.83,99.01,38.58,2021-05-04 02:34:10
267,21.96,34.64,32.76,99.01,38.26,2021-05-04 02:34:43
268,21.96,34.63,32.87,99.0,38.32,2021-05-04 02:35:17
269,21.96,34.63,32.79,99.01,38.3,2021-05-04 02:35:51
270,21.96,34.62,32.77,99.0,38.31,2021-05-04 02:36:25
271,21.96,34.62,32.77,99.01,38.21,2021-05-04 02:36:58
272,21.96,34.61,32.79,99.0,38.21,2021-05-04 02:37:36
273,21.96,34.61,32.72,99.01,38.45,2021-05-04 02:38:10
274,21.96,34.61,32.74,99.01,38.28,2021-05-04 02:38:44
275,21.96,34.6,32.76,99.0,37.76,2021-05-04 02:39:17
276,21.96,34.59,32.76,99.0,38.35,2021-05-04 02:39:51
277,21.96,34.58,32.76,99.0,38.48,2021-05-04 02:40:25
278,21.96,34.58,32.77,99.0,38.5,2021-05-04 02:40:59
279,21.96,34.57,32.74,99.01,38.19,2021-05-04 02:41:38
280,21.96,34.56,32.76,99.0,37.88,2021-05-04 02:42:12
281,21.96,34.55,32.76,98.99,38.01,2021-05-04 02:42:46
282,21.96,34.55,32.72,99.0,38.31,2021-05-04 02:43:20
283,21.96,34.55,32.7,99.0,38.28,2021-05-04 02:43:54
284,21.96,34.54,32.7,99.0,38.04,2021-05-04 02:44:28
285,21.96,34.54,32.72,99.0,38.44,2021-05-04 02:45:01
286,22.46,34.53,32.68,99.01,38.12,2021-05-04 02:45:40
287,21.96,34.52,32.72,99.0,38.12,2021-05-04 02:46:14
288,21.96,34.52,32.68,99.0,38.45,2021-05-04 02:46:48
289,21.96,34.52,32.7,99.0,38.33,2021-05-04 02:47:22
290,21.96,34.51,32.68,98.99,38.42,2021-05-04 02:47:55
291,21.96,34.49,32.7,99.0,38.52,2021-05-04 02:48:36
292,21.96,34.49,32.68,98.98,38.74,2021-05-04 02:49:10
293,21.96,34.48,32.76,99.0,38.76,2021-05-04 02:49:44
294,21.96,34.48,32.7,99.01,38.63,2021-05-04 02:50:17
295,21.96,34.48,32.68,99.0,38.74,2021-05-04 02:50:51
296,21.96,34.47,32.68,99.01,38.74,2021-05-04 02:51:26
297,21.96,34.46,32.66,98.99,38.55,2021-05-04 02:52:00
298,21.96,34.45,32.68,98.99,38.36,2021-05-04 02:52:34
299,21.96,34.44,32.66,99.01,38.12,2021-05-04 02:53:08
300,21.96,34.44,32.62,99.01,37.9,2021-05-04 02:53:42
301,21.96,34.44,32.6,98.99,37.93,2021-05-04 02:54:16
302,21.96,34.44,32.62,99.0,37.73,2021-05-04 02:54:50
303,21.96,34.44,32.62,99.01,37.93,2021-05-04 02:55:23
304,21.96,34.44,32.6,99.01,37.79,2021-05-04 02:55:57
305,21.96,34.44,32.64,99.01,37.8,2021-05-04 02:56:37
306,21.96,34.44,32.62,99.0,37.91,2021-05-04 02:57:11
307,21.96,34.43,32.6,99.0,38.03,2021-05-04 02:57:44
308,21.96,34.43,32.6,99.01,38.26,2021-05-04 02:58:18
309,21.96,34.43,32.58,99.01,37.9,2021-05-04 02:58:52
310,21.96,34.42,32.6,99.01,38.24,2021-05-04 02:59:26
311,21.96,34.42,32.6,99.01,38.53,2021-05-04 02:59:59
312,21.96,34.41,32.62,99.01,38.4,2021-05-04 03:00:38
313,21.96,34.41,32.6,99.01,38.53,2021-05-04 03:01:12
314,21.96,34.41,32.58,99.02,38.28,2021-05-04 03:01:46
315,21.96,34.4,32.6,99.01,37.71,2021-05-04 03:02:20
316,21.96,34.41,32.58,99.02,37.98,2021-05-04 03:02:54
317,21.96,34.4,32.56,99.02,38.1,2021-05-04 03:03:28
318,21.96,34.4,32.58,99.02,38.21,2021-05-04 03:04:01
319,21.96,34.39,32.6,99.02,38.12,2021-05-04 03:04:35
320,21.96,34.39,32.62,99.02,37.81,2021-05-04 03:05:09
321,21.96,34.38,32.6,99.02,37.58,2021-05-04 03:05:43
322,21.96,34.38,32.6,99.03,37.69,2021-05-04 03:06:16
323,21.96,34.38,32.56,99.02,37.71,2021-05-04 03:06:50
324,21.96,34.38,32.6,99.02,38.19,2021-05-04 03:07:24
325,21.96,34.37,32.55,99.02,38.16,2021-05-04 03:08:09
326,21.96,34.37,32.6,99.03,38.19,2021-05-04 03:08:43
327,21.96,34.37,32.58,99.02,38.66,2021-05-04 03:09:17
328,21.96,34.36,32.53,99.02,38.12,2021-05-04 03:09:50
329,21.96,34.36,32.55,99.02,38.02,2021-05-04 03:10:24
330,21.96,34.36,32.53,99.02,38.06,2021-05-04 03:10:58
331,21.96,34.34,32.56,99.02,38.04,2021-05-04 03:11:38
332,21.96,34.34,32.56,99.02,37.92,2021-05-04 03:12:12
333,21.96,34.34,32.55,99.02,37.83,2021-05-04 03:12:45
334,21.96,34.33,32.55,99.02,38.05,2021-05-04 03:13:19
335,21.96,34.33,32.51,99.02,38.07,2021-05-04 03:13:53
336,21.96,34.33,32.51,99.03,38.0,2021-05-04 03:14:27
337,21.96,34.33,32.55,99.02,38.16,2021-05-04 03:15:00
338,21.96,34.32,32.51,99.03,38.17,2021-05-04 03:15:39
339,21.96,34.33,32.49,99.03,38.28,2021-05-04 03:16:13
340,21.96,34.32,32.51,99.04,38.53,2021-05-04 03:16:47
341,21.96,34.32,32.51,99.03,38.16,2021-05-04 03:17:20
342,21.96,34.31,32.53,99.03,38.23,2021-05-04 03:17:54
343,21.96,34.33,32.51,99.04,38.64,2021-05-04 03:18:28
344,21.96,34.33,32.51,99.02,38.96,2021-05-04 03:19:02
345,21.96,34.33,32.53,99.04,38.7,2021-05-04 03:19:35
346,21.96,34.33,32.47,99.03,39.24,2021-05-04 03:20:09
347,21.96,34.34,32.55,99.04,39.22,2021-05-04 03:20:43
348,21.96,34.34,32.55,99.03,39.15,2021-05-04 03:21:17
349,21.96,34.36,32.49,99.04,39.29,2021-05-04 03:21:51
350,21.96,34.37,32.53,99.03,39.49,2021-05-04 03:22:24
351,21.96,34.38,32.51,99.04,39.57,2021-05-04 03:22:58
352,21.96,34.38,32.51,99.04,39.65,2021-05-04 03:23:37
353,21.96,34.4,32.55,99.04,39.67,2021-05-04 03:24:11
354,21.96,34.41,32.51,99.03,39.74,2021-05-04 03:24:44
355,21.96,34.42,32.56,99.03,39.72,2021-05-04 03:25:18
356,21.96,34.43,32.6,99.04,39.95,2021-05-04 03:25:52
357,21.96,34.44,32.56,99.03,40.03,2021-05-04 03:26:26
358,21.96,34.45,32.6,99.03,39.85,2021-05-04 03:26:59
359,21.96,34.47,32.55,99.02,39.36,2021-05-04 03:27:38
360,21.96,34.48,32.55,99.04,39.63,2021-05-04 03:28:12
361,22.46,34.49,32.6,99.03,39.49,2021-05-04 03:28:46
362,21.96,34.5,32.6,99.04,39.17,2021-05-04 03:29:20
363,21.96,34.51,32.6,99.04,38.97,2021-05-04 03:29:53
364,21.96,34.51,32.6,99.04,39.06,2021-05-04 03:30:27
365,21.96,34.52,32.56,99.04,39.13,2021-05-04 03:31:01
366,21.96,34.53,32.6,99.05,39.04,2021-05-04 03:31:35
367,21.96,34.54,32.66,99.05,38.95,2021-05-04 03:32:09
368,22.46,34.54,32.6,99.05,38.41,2021-05-04 03:32:42
369,22.46,34.54,32.62,99.06,38.78,2021-05-04 03:33:16
370,21.96,34.55,32.62,99.04,39.1,2021-05-04 03:33:50
371,21.96,34.55,32.68,99.05,39.01,2021-05-04 03:34:24
372,21.96,34.56,32.62,99.05,39.1,2021-05-04 03:34:57
373,21.96,34.56,32.6,99.05,39.16,2021-05-04 03:35:37
374,21.96,34.56,32.62,99.06,39.13,2021-05-04 03:36:11
375,21.96,34.56,32.58,99.05,39.11,2021-05-04 03:36:45
376,21.96,34.56,32.6,99.05,38.94,2021-05-04 03:37:19
377,21.96,34.55,32.58,99.05,38.95,2021-05-04 03:37:53
378,21.96,34.55,32.62,99.05,38.8,2021-05-04 03:38:26
379,21.96,34.55,32.66,99.05,38.43,2021-05-04 03:39:00
380,21.96,34.55,32.6,99.05,38.33,2021-05-04 03:39:34
381,21.96,34.55,32.62,99.05,38.32,2021-05-04 03:40:08
382,21.96,34.54,32.6,99.05,38.35,2021-05-04 03:40:42
383,21.96,34.54,32.64,99.06,38.54,2021-05-04 03:41:16
384,21.96,34.54,32.58,99.05,38.1,2021-05-04 03:41:50
385,21.96,34.53,32.6,99.05,38.13,2021-05-04 03:42:40
386,21.96,34.52,32.58,99.06,38.39,2021-05-04 03:43:13
387,21.96,34.53,32.58,99.05,38.41,2021-05-04 03:43:47
388,21.96,34.52,32.64,99.05,38.29,2021-05-04 03:44:21
389,21.96,34.52,32.6,99.06,38.35,2021-05-04 03:44:55
390,21.96,34.51,32.58,99.05,38.05,2021-05-04 03:45:28
391,21.96,34.51,32.6,99.05,38.41,2021-05-04 03:46:02
392,21.96,34.5,32.6,99.05,38.81,2021-05-04 03:46:36
393,21.96,34.5,32.6,99.07,38.86,2021-05-04 03:47:10
394,21.96,34.5,32.55,99.04,38.3,2021-05-04 03:47:44
395,21.96,34.49,32.6,99.07,38.52,2021-05-04 03:48:22
